Genero,Faixa_Etaria,Frequencia
Mulher,31 a 40 anos,209055
Homem,11 a 20 anos,202734
Mulher,41 a 50 anos,199742
Mulher,11 a 20 anos,193048
Homem,31 a 40 anos,188518
Mulher,51 a 60 anos,183898
Mulher,21 a 30 anos,183463
Homem,0 a 10 anos,179987
Homem,21 a 30 anos,176852
Homem,41 a 50 anos,174627
Mulher,0 a 10 anos,172372
Homem,51 a 60 anos,157488
Mulher,61 a 70 anos,132585
Homem,61 a 70 anos,111566
Mulher,71 a 80 anos,70507
Homem,71 a 80 anos,57332
Mulher,Acima de 80 anos,34330
Homem,Acima de 80 anos,22355